host,port,addr,rtt_ms,error,decoded_present
router.bitcomet.com,6881,,,DNS error: [Errno 11001] getaddrinfo failed,False
67.215.246.10,6881,67.215.246.10:6881,216.0,,True
dht.libtorrent.org,25401,2a02:752:0:18::128:25401,98.3,,True
dht.libtorrent.org,25401,185.157.221.247:25401,107.1,,True
router.bittorrent.com,6881,67.215.246.10:6881,223.5,,True
82.221.103.244,6881,82.221.103.244:6881,,timeout,False
router.utorrent.com,6881,82.221.103.244:6881,,timeout,False
dht.aelitis.com,6881,34.229.89.117:6881,,timeout,False
dht.transmissionbt.com,6881,2001:41d0:203:4cca:5:::6881,86.6,,True
dht.transmissionbt.com,6881,212.129.33.59:6881,,timeout,False
dht.transmissionbt.com,6881,87.98.162.88:6881,75.1,,True
